,Cells highlighted in red - the code does not seem to have run until the end or is just not processed,,save .ipynb
,,,
Strain,Link,Cluster,
WT,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/Microfluidics%20Database/WT,0,
ΔabgR::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/Microfluidics%20Database/abgR,0,
ΔaceF::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/Microfluidics%20Database/aceF,0,
ΔagaR::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/Microfluidics%20Database/agaR,0,
ΔagaV::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/Microfluidics%20Database/agaV_new,0,
ΔalsB::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/main/test%20dataset/14.12.2018/alsB_repeat,1,
ΔappA::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/main/test%20dataset/ana%2023072018/appA,0,
ΔappB::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/main/test%20dataset/ana%2023072018/appB,0,
ΔappY::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/Microfluidics%20Database/appY,0,
ΔaqpZ::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/Microfluidics%20Database/aqpZ,0,
ΔarcA::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/main/test%20dataset/ana%2014082018/arcA,0,
ΔascB::Kan,in progress,,
ΔascF::Kan,in progress,,
ΔascG::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/Microfluidics%20Database/ascG,0,
ΔbarA::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/main/test%20dataset/ana11062018/barA,0,
ΔbipA::Kan,https://github.com/CyberCRI/coliSurvivalAnalysis/tree/master/xsong/Microfluidics%20Database/bipA,0,
